timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698851846089,937,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-8,,true,,140148,2400,10,10,null,287,3973,173
1698851850598,474,https://www.talan-academy.com/connexion,200,OK,Thread Group 1-1,text,true,,70184,1287,10,10,https://www.talan-academy.com/#login,204,0,151
1698851850598,204,https://www.talan-academy.com/connexion-0,302,Found,Thread Group 1-1,text,true,,853,690,10,10,https://www.talan-academy.com/connexion,204,0,151
1698851850803,269,https://www.talan-academy.com/connexion-1,200,OK,Thread Group 1-1,text,true,,69331,597,10,10,https://www.talan-academy.com/#login,62,0,0
1698851850512,574,https://www.talan-academy.com/connexion,200,OK,Thread Group 1-10,text,true,,70184,1287,10,10,https://www.talan-academy.com/#login,261,0,188
1698851850512,261,https://www.talan-academy.com/connexion-0,302,Found,Thread Group 1-10,text,true,,853,690,10,10,https://www.talan-academy.com/connexion,261,0,188
1698851850774,312,https://www.talan-academy.com/connexion-1,200,OK,Thread Group 1-10,text,true,,69331,597,10,10,https://www.talan-academy.com/#login,74,0,0
1698851851000,772,https://www.talan-academy.com/connexion,200,OK,Thread Group 1-8,text,true,,70184,1287,10,10,https://www.talan-academy.com/#login,272,0,200
1698851851000,272,https://www.talan-academy.com/connexion-0,302,Found,Thread Group 1-8,text,true,,853,690,10,10,https://www.talan-academy.com/connexion,272,0,200
1698851851272,500,https://www.talan-academy.com/connexion-1,200,OK,Thread Group 1-8,text,true,,69331,597,10,10,https://www.talan-academy.com/#login,77,0,0
1698851854184,339,https://www.talan-academy.com/candidate/profile,200,OK,Thread Group 1-4,text,true,,69964,1113,10,10,https://www.talan-academy.com/#login,58,0,0
1698851854184,58,https://www.talan-academy.com/candidate/profile-0,302,Found,Thread Group 1-4,text,true,,762,565,10,10,https://www.talan-academy.com/candidate/profile,58,0,0
1698851854242,281,https://www.talan-academy.com/candidate/profile-1,200,OK,Thread Group 1-4,text,true,,69202,548,10,10,https://www.talan-academy.com/#login,68,0,0
1698851849531,1017,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,140148,2400,10,10,null,294,3976,174
1698851854211,339,https://www.talan-academy.com/candidate/profile,200,OK,Thread Group 1-3,text,true,,69964,1113,10,10,https://www.talan-academy.com/#login,55,0,0
1698851854211,55,https://www.talan-academy.com/candidate/profile-0,302,Found,Thread Group 1-3,text,true,,762,565,10,10,https://www.talan-academy.com/candidate/profile,55,0,0
1698851854267,283,https://www.talan-academy.com/candidate/profile-1,200,OK,Thread Group 1-3,text,true,,69202,548,10,10,https://www.talan-academy.com/#login,69,0,0
1698851849625,954,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,140155,2400,10,10,null,326,3971,179
1698851854525,594,https://www.talan-academy.com/connexion,200,OK,Thread Group 1-4,text,true,,70184,1287,10,10,https://www.talan-academy.com/#login,222,0,163
1698851854525,222,https://www.talan-academy.com/connexion-0,302,Found,Thread Group 1-4,text,true,,853,690,10,10,https://www.talan-academy.com/connexion,222,0,163
1698851854748,371,https://www.talan-academy.com/connexion-1,200,OK,Thread Group 1-4,text,true,,69331,597,10,10,https://www.talan-academy.com/#login,66,0,0
1698851854792,354,https://www.talan-academy.com/candidate/profile,200,OK,Thread Group 1-7,text,true,,69971,1113,10,10,https://www.talan-academy.com/#login,63,0,0
1698851854792,63,https://www.talan-academy.com/candidate/profile-0,302,Found,Thread Group 1-7,text,true,,762,565,10,10,https://www.talan-academy.com/candidate/profile,63,0,0
1698851854856,290,https://www.talan-academy.com/candidate/profile-1,200,OK,Thread Group 1-7,text,true,,69209,548,10,10,https://www.talan-academy.com/#login,70,0,0
1698851850243,932,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-7,,true,,140155,2400,10,10,null,303,3972,179
